Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Cube,-8.25,9.25,-3.08,0,0,0,1,1,1
Cube,-9.25,9.25,-2.08,0,0,0,1,1,1
Cube,-7.25,9.25,-4.08,0,0,0,1,1,1
Goal,9.66,1,-2,0,0,0,1,1,1
Player,-10.62,10.66,-1,0,0,0,1,1,1
Key,0.21,6.29,-3,0,0,0,1,1,1
VMoveCube,3.89,7.62,-1,0,0,0,1,3,1
MoveCube,5.25,9.07,-3,0,0,0,2,1,1
Cube,9.69,0,-2,0,0,0,5,1,1
Cube,-9.34,9.25,-1,0,0,0,6,1,1
MoveCube,-4.56,5.32,-1,0,0,0,3,1,1
Cube,-3.3,13.73,-2,0,0,0,5,1,1
MoveCube,4.52,1.97,-3,0,0,0,2,1,1
Cube,-1.02,2.86,-7,0,0,0,1,1,1
Cube,1,5,-4,0,0,0,3,1,1
Cube,-3.02,2.86,-5,0,0,0,1,1,1
Cube,-2.02,2.86,-6,0,0,0,1,1,1
Cube,-4.3,8.42,-3,0,0,0,4,1,1
VMoveCube,-2.91,9.16,-1,0,0,0,1,3,1
Cube,7.4,5.44,-2,0,0,0,3,1,1
end,,,,,,,,,
