Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Key,-5.17,2.8,-2,0,0,0,1,1,1
Goal,-10.5,9.21,-1,0,0,0,1,1,1
Player,-12,3,-1,0,0,0,1,1,1
Cube,-6.47,5.84,-4,0,0,0,1,1,1
Cube,-4.47,5.84,-2,0,0,0,1,1,1
Cube,-5.47,5.84,-3,0,0,0,1,1,1
Cube,-1,-1,-3,0,0,0,1,1,1
MoveCube,0,-1,-2,0,0,0,1,1,1
MoveCube,-2,-1,-4,0,0,0,1,1,1
Cube,-10.2,8.24,-1,0,0,0,3,1,1
VMoveCube,-8.93,8.86,-2,0,0,0,1,2,1
MoveCube,-3,2.36,-1,0,0,0,1,3,1
Cannon,3,3,-3,0,0,0,1,1,1
Cube,-2,-1,-4,0,0,0,1,1,1
MoveCube,0,-1,-2,0,0,0,1,1,1
Cube,-1,-1,-3,0,0,0,1,1,1
Cube,-12,2,-1,0,0,0,2,1,1
Cube,3,1.75,-3,0,0,0,1,1,1
Cube,-5.32,0.99,-1,0,0,0,5.5,1,1
Cube,-9,-1,-3,0,0,0,1,1,1
Cube,-5.36,5.85,-1,0,0,0,3,1,1
VMoveCube,1.58,-0.99,-1,0,0,0,2,1,1
Cube,-8,-1,-4,0,0,0,1,1,1
Cube,-10,-1,-2,0,0,0,1,1,1
Cube,-1.4,3.14,-2,0,0,0,2,1,1
end,,,,,,,,,
