Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Key,-5.04,6.43,-7,0,0,0,1,1,1
Cube,-5.04,5.43,-7,0,0,0,4.86559,0.914698,0.343565
Cube,1.64,1.05,-15,0,0,0,1,1,0.386728
Cube,3.99,1.2,-14,0,0,0,3,1,0.450195
Cube,-8.95,1.9,-7,0,0,0,1,5.150177,0.262537
Cube,10.91,3.68,-12,0,0,0,3.498939,1,0.549906
Cube,11.88,0,-11,0,0,0,1,1,0.674906
Cube,6.79,0.14,-15.09,0,0,0,3,1,0.308977
Cube,4.83,3.41,-9,0,0,0,5,1,0.32202
Cube,0.05,0,-12.96,0,0,0,5,1,0.44394
Cube,-5.93,0,-7,0,0,0,4.865591,1.70953,0.384769
Goal,11.94,1.3,-11,0,0,0,1,1,1
Player,-7.55,1.74,-7,0,0,0,1,1,1
end,,,,,,,,,
