Objects,PosX,PosY,PosZ,Rot.X,Rot.Y,Rot.Z,Scl.X,Scl.Y,Scl.Z
Goal,6.61,1.5,-17.98,0,0,0,1,1,1
Player,-9.47,-0.45,-0.61,0,0,0,1,1,1
Cube,-0.66,5.157574,-16.08,0,0,0,0.25,1.143513,1
Cube,-4.870473,3.099272,-17.5,0,0,0,1,1,1
Cube,-4.34,7.43,-14.44,0,0,0,2.998011,0.78757,0.78757
Cube,-0.3,8.77,-15.67,0,0,0,1.584415,0.792207,0.792207
Cube,-9.47,-1.29,-15.21,0,0,0,4.86346,0.787574,0.787574
Cube,-6.26,3.78,-17.5,0,0,0,2.105344,0.701782,0.701782
Cube,2.31,-4.17,-16.07,0,0,0,3.559115,0.762645,0.897639
Cube,-2.51,-0.44,-19.08,0,0,0,0.894478,2.519645,0.348171
Cube,4.82,3.5,-21.9,0,0,0,2.702418,0.426511,0.858146
Cube,6.61,0.08,-17.98,0,0,0,0.692415,2.104953,0.692415
Cube,1.01,0.89,-21.5,0,0,0,1.789845,0.762033,0.762033
Cube,-0.66,4.4,-16.08,0,0,0,3.030295,0.757574,0.757574
Key,-0.3,9.5,-15.67,0,0,0,1,1,1
end,,,,,,,,,
